"((1, 8, 0), (5, 2, 0))","[697071, array([ 0.00750102,  1.66329838,  1.17384785, -1.51039974, -1.33424751])]"
"((1, 8, 0), (5, 1, 0))","[334490, array([-0.00194839,  1.79090982,  1.15118872, -1.60313346, -1.33701668])]"
"((1, 8, 0), (6, 2, 0))","[533039, array([ 0.03553917,  1.54957102,  1.36222114, -1.51946246, -1.42786888])]"
"((1, 8, 0), (6, 1, 0))","[249180, array([ 0.06203286,  1.68155985,  1.30030684, -1.60859861, -1.43530095])]"
"((1, 8, 0), (4, 1, 0))","[385300, array([ 0.00864375,  1.89535392,  0.94345629, -1.6142396 , -1.23321435])]"
"((1, 8, 0), (3, 1, 0))","[396934, array([ 0.02738935,  1.99562769,  0.69917589, -1.59534786, -1.12684507])]"
"((1, 8, 0), (4, 2, 0))","[820549, array([ 0.02036498,  1.77260053,  0.95413117, -1.51318902, -1.23390766])]"
"((1, 8, 0), (1, 1, 0))","[194921, array([ 0.01530805,  2.23571676,  0.20429217, -1.57866714, -0.87664984])]"
"((1, 8, 0), (0, 1, 0))","[39251, array([-0.01890404,  2.19502956,  0.14322282, -1.63210047, -0.68724787])]"
"((1, 8, 0), (3, 8, 0))","[6599170, array([ 0.13949931, -0.2254537 ,  1.17541037, -0.44223086, -0.64722512])]"
"((1, 8, 0), (4, 8, 0))","[2992700, array([ 0.10857756, -0.16418285,  1.55199463, -0.56924061, -0.92714872])]"
"((1, 8, 0), (4, 7, 0))","[3961422, array([ 0.09098878,  0.33049894,  1.3803892 , -0.78548476, -1.01639215])]"
"((1, 8, 0), (4, 9, 0))","[598944, array([-0.00796202, -0.27307459,  1.44168813, -0.12342741, -1.03722411])]"
"((1, 8, 0), (8, 4, 0))","[330429, array([ 0.02246428,  1.11948812,  1.78990384, -1.35524833, -1.57660792])]"
"((1, 8, 0), (6, 5, 0))","[1361182, array([ 0.04211557,  0.97164578,  1.61061223, -1.21951189, -1.4048617 ])]"
"((1, 8, 0), (9, 3, 0))","[51585, array([-0.01852172,  1.25512048,  1.83988373, -1.48094506, -1.59553743])]"
"((1, 8, 0), (8, 3, 0))","[255437, array([ 0.00470561,  1.30666127,  1.6986164 , -1.44498419, -1.56499909])]"
"((1, 8, 0), (3, 3, 0))","[1480370, array([ 0.04493407,  1.74782285,  0.67987403, -1.3820533 , -1.09057765])]"
"((1, 8, 0), (3, 0, 0))","[79229, array([-0.01183483,  2.16146388,  0.66324607, -1.64714491, -1.1657302 ])]"
"((1, 8, 0), (3, 9, 0))","[1326790, array([ 1.34355888e-04, -3.66256509e-01,  1.03706323e+00,  1.13811612e-01,
       -7.84752690e-01])]"
"((1, 8, 0), (0, 5, 0))","[610113, array([ 0.0047379 ,  1.43904703, -0.27343071, -1.03624629, -0.13410793])]"
"((1, 8, 0), (5, 7, 0))","[2300789, array([ 0.07709593,  0.33244736,  1.67379197, -0.87763343, -1.20570184])]"
"((1, 8, 0), (5, 8, 0))","[1547420, array([ 0.08478358, -0.05720378,  1.80671417, -0.68044601, -1.15384796])]"
"((1, 8, 0), (5, 9, 0))","[310856, array([-0.00987446, -0.14536893,  1.72282681, -0.33232224, -1.23526119])]"
"((1, 8, 0), (0, 3, 0))","[169714, array([-0.0067393 ,  1.95379807, -0.049071  , -1.38737703, -0.51061074])]"
"((1, 8, 0), (6, 7, 0))","[1335983, array([ 0.07034842,  0.35549779,  1.88192613, -0.94589399, -1.36187835])]"
"((1, 8, 0), (7, 7, 0))","[740138, array([ 0.06656648,  0.38900599,  2.02665178, -0.99350058, -1.48872368])]"
"((1, 8, 0), (6, 8, 0))","[834822, array([ 0.07342286,  0.04213572,  1.99219471, -0.77609709, -1.3316562 ])]"
"((1, 8, 0), (7, 8, 0))","[442584, array([ 0.06075294,  0.12400613,  2.13025864, -0.85225754, -1.46276018])]"
"((1, 8, 0), (9, 8, 0))","[41393, array([ 0.01020085,  0.17682278,  2.38842297, -0.93695401, -1.6384926 ])]"
"((1, 8, 0), (8, 8, 0))","[194161, array([ 0.05028363,  0.20115759,  2.2160682 , -0.88593271, -1.58157671])]"
"((1, 8, 0), (7, 9, 0))","[86967, array([-0.03608697,  0.08033925,  2.09433278, -0.62111675, -1.51746831])]"
